nombre_actor,anno_nacimiento,peliculas,que_hace,premios
Chris Hopkins,0,"['Crímenes imperfectos', 'None', 'None', 'None']",None,0
Haven Nutt,0,"['Mr. Man', 'Street Dykes', 'Maskerade', 'Gun']","['Reparto', 'Producción', 'Dirección']",0
Ben Fiore,1959,"['Appointment with Death', 'The Mamaluke', 'Pursuit', 'Penelope']","['Guion', 'Reparto', 'Producción']",0
Keith McMahon,0,"['Creencias mortales', 'None', 'None', 'None']",['Reparto'],0
Sheila Dara Aisha,0,"['Yang Hilang Dalam Cinta', 'Noktah Merah Perkawinan', 'Nanti kita cerita tentang hari ini', 'Eggnoid']","['Reparto', 'Banda sonora']",1
Dion Wiyoko,0,"['Cek Toko Sebelah', 'Terbang: Menembus Langit', 'Susi Susanti: Love All', 'Hattrick']",['Reparto'],0
Morgan Oey,0,"['The Night Comes for Us', 'Koki-Koki Cilik', 'Assalamualaikum Beijing', 'Sweet 20']","['Reparto', 'Banda sonora']",3
Ferry Salim,1967,"['Bangkit!', 'Ca-bau-kan', '2045 Apa Ada Cinta', 'Teka Teki Tika']",['Reparto'],0
Jenny Chang,0,"['Perdidos', 'Agent Orange', 'The Orb', 'In the Moment']","['Reparto', 'Producción']",0
Eriska Rein,0,"['Bajaj Bajuri the Movie', 'Aku Cinta Kamu', 'A Man Called Ahok', 'Teka Teki Tika']",['Reparto'],0
Tansri Kemala,0,"['Teka Teki Tika', 'None', 'None', 'None']",['Reparto'],0
Ayu Laksmi,0,"[""Los hijos de Satán (Satan's slaves)"", 'Bumi Manusia', 'Di Bawah Pohon', 'Sekala Niskala']","['Reparto', 'Composición']",0
Whani Darmawan,0,"['Kucumbu tubuh indahku', '24 horas con Gaspar', 'The Love Verses', 'Qodrat']","['Reparto', 'Equipos adicionales']",1
Kiki Narendra,0,"['Pengabdi Setan 2: Communion', 'La mujer del infierno', 'Preman', 'Pertaruhan: The Series']",['Reparto'],1
Enrico Basile,0,"['Maria Montessori', 'I Came from the Future', 'Rêve General', 'Un passo alla volta']",['Reparto'],1
Carmine Claudio Covino,0,"['Un passo alla volta', 'Un colpo al cerchio e uno alla botte', 'None', 'None']",['Reparto'],1
Festus Osayi Ebomwonyi,0,"['Un passo alla volta', 'None', 'None', 'None']",['Reparto'],1
Michele Farina,0,"['None', 'None', 'None', 'None']",None,1
Micòl Gaia Ferrigno,0,"['Un passo alla volta', 'Un colpo al cerchio e uno alla botte', 'Doppio sei', 'None']","['Reparto', 'Dirección de casting']",0
Nicola Russo,0,"[""Nemici d'infanzia"", 'I pavoni', 'Marciando nel buio', 'Tobia al caffè']",['Reparto'],0
Bayejid Sarker,0,"['Un passo alla volta', 'None', 'None', 'None']",['Reparto'],0
Seydou Sidibe,0,"['Un passo alla volta', 'None', 'None', 'None']",['Reparto'],0
Arianna Sorrentino,0,"['Imma Tataranni', 'Un passo alla volta', 'None', 'None']",['Reparto'],0
Giorgio Sorrentino,0,"['Gomorrah', 'Sumerika', 'The Voice Is Over', 'Soma']","['Reparto', 'Sonido']",0
