nombre_actor,anno_nacimiento,peliculas,que_hace,premios
Dima Novikov,0,"['A Second Chance', 'A wish', 'Ultra Tennis', 'Unseen']","['Dirección de fotografía y cámara', 'Efectos visuales', 'Edición']",0
Yuriy Zhirov,0,"['Uncovered', 'A wish', 'Ultra Tennis', 'The Ugly Dance']","['Reparto', 'Dirección', 'Guion']",0
Antho -Unikement-,0,"['Jade & Anthony', 'None', 'None', 'None']","['Reparto', 'Guion', 'Localización']",0
Johana Morançais,0,"['Jade & Anthony', 'None', 'None', 'None']","['Reparto', 'Guion']",0
Patrick Finger,0,"['Chalet Girl', 'Pornorama', 'Sturm der Liebe', 'En el lugar del crimen']",['Reparto'],0
Bloß Susanne,0,"['Blutsbande', 'The Room', 'Tabaluga tivi', 'None']",['Reparto'],0
Gísli Freyr Eggertsson,0,"['Astrópía', 'Wolf', 'The Curse of the House', 'The House - Meeting Joshua']",['Reparto'],0
Betúel Ingólfsson,0,"['Wolf', 'The Curse of the House', 'None', 'None']","['Reparto', 'Arte', 'Producción']",0
Vilius Petrikas,1990,"['Bajo el sótano', 'Ocean Treks with Jeff Corwin', 'Soul Cry', 'Existence']","['Cámara y electricidad', 'Producción', 'Edición']",1
Rósa Ásgeirsdóttir,0,"['Delirium', 'Wolf', 'Vampyr', 'None']","['Reparto', 'Vestuario']",1
Mark Fountain,0,"['Sorted', 'Soldiers of damned', 'No Angels', 'Casualty']",['Reparto'],1
Simon Glenn,0,"['Chugger', 'The Caller', 'The Great Train Robbery', 'None']",['Reparto'],1
Leslie Fender,0,"['Arriving', 'Pendulum', 'The Visitor', 'Tip Your Waitress']","['Reparto', 'Vestuario', 'Diseño de vestuario']",0
John Harris,1930,"['Sin perdón', 'Gladiator (El gladiador)', 'Camelot', 'La venganza del conde de Montecristo']","['Reparto', 'Producción', 'Dirección']",11
Joseph Rene,0,"['Beyond the Red City', 'The Demon Inside', 'The Division: The Hands of War', 'Mataría por ti']",['Reparto'],0
James Dougal,0,"['Covidrama', 'The Summoning', 'None', 'None']",['Reparto'],0
Fernanda Lara,0,"['Silverpoint', 'The Summoning', 'None', 'None']",['Reparto'],0
Nadia Milliken,0,"['The Irish Mob', 'The Summoning', 'None', 'None']",['Reparto'],0
Ethan Savage,0,"['Dom & Knox', 'Absence', 'My Renaissance', 'None']",['Reparto'],0
Adam Wallace,0,"['The Kid and the Coma', 'CollegeHumor Originals', 'Unmasked: Sidewalk Superheroes', 'Hot Dog']","['Reparto', 'Guion', 'Producción']",0
Juanita Adams,0,"['Everyone Is Doing Great', 'Good News', 'Whodunnit?', 'None']",['Reparto'],0
Rana Ashuri,0,"['The Program (SSR-7)', 'Shoot', 'The Foreigner', 'Yasmine']","['Reparto', 'Producción']",0
Sam McAtee,0,"['I Love You But', 'None', 'None', 'None']",['Equipos adicionales'],0
Izzi Rojas,0,"['When Men Were Men', 'Lost at Sea', 'Serious Matters in the Middle of the Night', 'Boys About Town #4']","['Reparto', 'Guion', 'Dirección']",1
Jon Zuber,0,"[""Canyon's Edge"", 'Number 9', 'Calaveras Creek', 'Killer Holiday']","['Producción', 'Guion', 'Reparto']",0
Emmanuel Abah,0,"['Memoir', 'None', 'None', 'None']",['Reparto'],0
John Aie,0,"['None', 'None', 'None', 'None']","['2024', '1h 15min']",1
Gloria Anozie,0,"['The Weekend', 'Back to Life', 'Half of a Yellow Sun', 'Finding Happiness']","['Reparto', 'Equipos adicionales']",0
Vanessa Arit,0,"['First Time', 'Sorrow Gate', 'Memoir', 'Obinmapu']",['Reparto'],0
Abbey Awobimpe,0,"['Lagos Landing', 'Her Faithful Man', 'An Unlikely Pair', 'Subterfuge']","['Dirección de arte', 'Arte', 'Diseño de producción']",0
Njoku Benjamin,0,"['The Bodyguard', 'Memoir', 'None', 'None']",['Reparto'],0
Emeka Duru,0,"['Cooked Up Love', 'Ordinary People', 'Four Wives and a Mistress', 'The Wedding']","['Dirección de producción', 'Reparto', 'Producción']",0
Tonia Edet,0,"['Memoir', 'Hold Hands', 'None', 'None']",['Reparto'],0
Onyeka Francis,0,"['This is how it ends', ""Adam's Apple"", 'Impaired', 'Middle of Nowhere']","['Dirección de producción', 'Reparto', 'Arte']",0
Echelon Mbadiwe,0,"['Yahoo+', 'Remembrance of a Forgotten Man', 'Laurie', 'Twist of Fate']",['Reparto'],0
Jorma Karlstedt,0,"['I Need My Space', 'Koukussa', 'Nuotin vierestä', 'Viraali']",['Reparto'],0
Kalle Kurikkala,0,"['Pysähtynyt Kello', 'Viimeinen Suudelma', 'Parrasvaloissa', 'None']",['Reparto'],0
Ari Nieminen,0,"['Lyhyitä erikoisia', 'Jos rakastat', 'Ártico', 'Suurmestari']","['Arte', 'Equipos adicionales', 'Localización']",0
Aino Paranko,0,"['Viimeinen Suudelma', 'Rakkauden Tähden Huomisesta eiliseen', 'Pysähtynyt Kello', 'Kontakti']",['Reparto'],0
Vic Reeves,1959,"['Catterick', 'Vic Reeves Big Night Out', 'House of Fools', 'Los años dorados de Hollywood']","['Reparto', 'Guion', 'Música']",2
Michael Fish,0,"['Los Conner', 'Roseanne', 'Seinfeld', 'Abducted by My Teacher: The Elizabeth Thomas Story']","['Reparto', 'Dirección', 'Producción']",3
Mallory Everton,0,"['Recovery', 'Villains Inc', 'Freelancers', 'Studio C']","['Reparto', 'Guion', 'Dirección']",8
Colin Mochrie,1957,"['Whose Line Is It Anyway?', 'Jane White Is Sick & Twisted', 'Getting Along Famously', 'This Hour Has 22 Minutes']","['Reparto', 'Producción', 'Guion']",9
Jason Gray,1970,"['Monk', 'Una mente maravillosa', 'Banderas de nuestros padres', 'Justified: La ley de Raylan']","['Reparto', 'Banda sonora']",0
Billy Mann,0,"['Spidey Beats', 'The Paradise Planets: The Fallen from Paradise', 'Lunchtime Battle: A Mobile Strike Story', 'Villains Inc']",['Reparto'],0
Jeff Bryan Davis,1973,"['Deep Impact', 'Final fantasy: La fuerza interior', 'Titanic', 'Un loco a domicilio']","['Guion', 'Dirección', 'Reparto']",0
Joe Bereta,1982,"['Smosh', 'Every [Blank] Ever', 'The Big What If', 'Smosh Summer Games 2016: Camp']","['Reparto', 'Equipos adicionales', 'Dirección de la segunda unidad o asistencia a dirección']",0
Charla Bocchicchio,0,"['The Chosen', 'Yellowstone', 'He Never Left', 'Villains Inc']",['Reparto'],5
Gabriel Casdorph,0,"['Los asesinos de la luna', 'Wind River', 'Damsel', 'Yellowstone']","['Reparto', 'Dirección', 'Dirección de fotografía y cámara']",1
GloZell Green,1972,"['Trolls', 'Escape the Night', 'El gurú de las bodas', 'Ralph rompe Internet']","['Reparto', 'Casting', 'Banda sonora']",1
Archelaus Crisanto,0,"['The Tailypo: A Folktale', 'Deadstream', 'Secondhand Hearts', 'Creatures of Whitechapel']","['Reparto', 'Equipos adicionales', 'Dirección de la segunda unidad o asistencia a dirección']",0
Allison Edwards,0,"['El cuento de la criada', 'Monster', 'Initiation', ""A Witches' Ball""]","['Reparto', 'Producción']",0
Jon Parker,0,"['The Secret Life of Amy Bensen', 'The Anthology of Julius, the Nigerian Immigrant', 'None', 'None']","['Reparto', 'Guion']",0
Will Reverman,0,"['Images', 'None', 'None', 'None']",['Reparto'],0
Stone Taul,0,"['Viceroy', 'Leave in the Morning', 'Red Ink', 'Regret']","['Reparto', 'Sonido', 'Dirección']",1
Dean Parker,0,"['Images', 'Regret', 'Together', 'No Love in Loveland']","['Dirección', 'Edición', 'Guion']",11
Nathan Anthony,0,"['BioShock', 'The Last of Us', 'BioShock Infinite', 'The Last of Us: Left Behind']","['Reparto', 'Arte', 'Dirección de arte']",0
Luke Harris,0,"['Triangle', 'Furia de titanes', 'Australia', 'Arthur Christmas: Operación regalo']","['Animación', 'Efectos visuales', 'Arte']",0
James McCormick,1992,"['Scary Movie 5', 'Tall Girl', 'Arma letal', 'Mac Miller: Clarity']","['Music Artist', 'Reparto', 'Composición']",0
Kris Alexandrea,0,"['Rot', 'Venganza personal', 'Gothic Springs', 'Unicorn']","['Reparto', 'Guion', 'Producción']",0
Kris Ann Russell,0,"['Saved by the Bell', 'Finding Love in Big Sky, Montana', 'Justin Bieber: Hold On', '32 Weeks']","['Reparto', 'Guion', 'Dirección']",0
Linda Burzynski,0,"['Big Little Lies', 'Shameless', 'Animal Kingdom', 'Fear, Love, and Agoraphobia']","['Reparto', 'Producción', 'Guion']",3
Eileen Dietz,1944,"['Abnormal Attraction', ""David Holzman's Diary"", 'Hospital General', 'Halloween 2']","['Reparto', 'Producción']",2
Johnny Kostrey,0,"['Aquarius', 'Lucky Bastard', 'Asuntos de estado', 'Channeling']",['Reparto'],2
