Tipo,Nombre,Anno_estreno,Mes_estreno,Id_peli,Genero
Movie,The Last Rites of Ransom Pride,2010,6,tt1268970,Action
Movie,Rogues Gallery,2010,5,tt1268987,Action
Movie,Hatchet II,2010,7,tt1270835,Action
Movie,Kandagar,2010,2,tt1272018,Action
Movie,Ascension,2010,3,tt12730876,Action
Movie,The Spy Next Door,2010,2,tt1273678,Action
Movie,An Immortal Tale,2010,4,tt1274272,Action
Movie,Liverpool vs Blackpool,2010,10,tt12775128,Action
Movie,2010 Championship Playoff Final,2010,por estrenar,tt12787882,Action
Movie,Mard No.1,2010,,tt12788652,Action
Movie,Ramaa: The Saviour,2010,11,tt1279105,Action
Movie,Banglar King Kong,2010,6,tt12798342,Action
Movie,Genghis Khan: The Story of a Lifetime,2010,,tt1280009,Action
Movie,Supreme Champion,2010,7,tt1283546,Action
Movie,One Long Day,2010,8,tt1283930,Action
Movie,Jitsuroku wakagashira,2010,,tt12845920,Action
Movie,Lahore,2010,3,tt1285245,Action
Movie,Gutter King,2010,,tt1286746,Action
Movie,Cats & Dogs: The Revenge of Kitty Galore,2010,7,tt1287468,Action
Movie,A Goldfish of the Flame,2010,12,tt1288587,Action
Movie,Everyday Black Man,2010,1,tt1289397,Action
Movie,Snabba cash,2010,10,tt1291652,Action
Movie,Allah Ke Banday,2010,11,tt1292642,Action
Movie,Dancing Ninja,2010,,tt1294141,Action
Movie,The Ascent,2010,,tt1303680,Action
Movie,Last Letters from Monte Rosa,2010,8,tt1305039,Action
Movie,Enthiran,2010,10,tt1305797,Action
Movie,The Big Bang,2010,2,tt1307873,Action
Movie,American Grindhouse,2010,3,tt1307861,Action
Movie,Lamhaa: The Untold Story of Kashmir,2010,7,tt1309561,Action
Movie,The Potential Inside,2010,9,tt1315963,Action
Movie,Sanada kunoichi ninpo-den kasumi shojo hi Densetsu,2010,,tt13183950,Action
Movie,Little Big Soldier,2010,2,tt1319718,Action
Movie,Shank,2010,3,tt1320296,Action
Movie,The Expendables,2010,8,tt1320253,Action
Movie,La hora cero,2010,10,tt1322302,Action
Movie,Fight or Flight,2010,4,tt1323917,Action
Movie,Pangaa Gang,2010,1,tt13242972,Action
Movie,The Twilight Saga: Eclipse,2010,6,tt1325004,Action
Movie,Opération Casablanca,2010,10,tt1327808,Action
Movie,Death Calls,2010,9,tt1328873,Action
Movie,Bold Native,2010,,tt1328908,Action
Movie,The Final Storm,2010,4,tt1331329,Action
Movie,Kongen av Bastøy,2010,12,tt1332134,Action
