Tipo,nombre,anno,mes,id_peli
Movie,Podrostki. Pervaya lyubov,2024,8,tt30474682
Movie,Muzhskoe slovo,2024,10,tt30475140
Movie,Postuchis v moyu Tver,2024,11,tt30475191
Movie,Vstretimsya vchera,2024,10,tt30475201
Movie,Kintsukuroi,2024,4,tt30476184
Movie,Haikyu!! The Movie: Decisive Battle at the Garbage Dump,2024,6,tt30476486
Movie,#OOTD: Outfit of the Designer,2024,1,tt30476508
Movie,Table for Six 2,2024,2,tt30478127
Movie,Sahmeran Efsanesi-Tulhan,2024,1,tt30484671
Movie,Song of All Ends,2024,1,tt30486118
Movie,Delivery Boy,2024,2,tt30486891
Movie,Antwan,2024,1,tt30487211
Movie,Avram Iancu Împotriva imperiului,2024,1,tt30478196
Movie,Matka v trapu,2024,2,tt30490537
Movie,Pulse of the Dance,2024,2,tt30490854
Movie,As Aves,2024,3,tt30493206
Movie,Balance,2024,2,tt30494433
Movie,Maçãs no Escuro,2024,1,tt30494881
Movie,Beijing jin xing shi,2024,7,tt30497082
Movie,Electric Feel,2024,12,tt30497438
Movie,Little Falls,2024,8,tt30498406
Movie,"Chroniques fidèles survenues au siècle dernier à l'hôpital psychiatrique Blida-Joinville, au temps où le Docteur Frantz Fanon était chef de la cinquième division entre 1953 et 1956",2024,2,tt30517184
Movie,Comme le feu,2024,2,tt30521164
Movie,Bedspacer,2024,1,tt30524053
Movie,"Palipat-lipat, papalit-palit",2024,1,tt30524107
Movie,Neer Mel Neruppu,2024,1,tt30526246
Movie,Troy the Bharat Putra,2024,5,tt30577309
Movie,Dereva,2024,3,tt30581124
Movie,Car Show Kings,2024,7,tt30581386
Movie,Onty Bunty Love Story,2024,1,tt30587816
Movie,Nilavuku Enmel Ennadi Kobam,2024,12,tt30590474
Movie,LLB: Life Line of Bachelors,2024,2,tt30608802
Movie,The Crypto: Beyond,2024,10,tt30609082
Movie,Milk Teeth,2024,1,tt30624201
Movie,From the Ashes,2024,1,tt30629563
Movie,Sridevi Prasanna,2024,2,tt30632761
Movie,The filth of the Internet,2024,8,tt30647093
Movie,Karinyo Brutal,2024,1,tt30691232
Movie,Tian ma liu xing,2024,9,tt30691420
Movie,Broken by Love,2024,3,tt30693534
Movie,Rambut Kafan,2024,1,tt30743567
Movie,The Strings Attached,2024,4,tt30743731
Movie,Trikanya,2024,3,tt30745222
Movie,Dziewczyna influencera,2024,2,tt30749092
Movie,Jhopadpatti,2024,3,tt30762487
Movie,Isithembiso,2024,1,tt30762685
Movie,Deenamma Jeevitham,2024,1,tt30765728
Movie,Missing You this Christmas,2024,11,tt30765859
Movie,Sleep,2024,1,tt30766908
Movie,Jorge da Capadócia,2024,4,tt30768673
Movie,The Last Frenzy,2024,5,tt30768761
Movie,Mangai,2024,3,tt30769049
Movie,Rangasamudra,2024,1,tt30769191
Movie,Draussen brennt's,2024,1,tt30778586
